51.86,коротко,короче,Adj
51.73,кровью,кровь,N
51.67,справа,справа,N
51.60,сестра,сестра,N
51.60,здоровье,здоровье,N
51.47,разговора,разговор,N
51.47,пил,пить,N
51.47,адрес,адрес,N
51.41,автор,автор,N
51.41,линии,линия,N
51.41,тему,тема,N
51.34,нож,нож,N
51.34,звезды,звезда,N
51.34,снегу,снег,N
51.27,общество,общество,N
51.21,правительства,правительство,N
51.21,сущности,сущность,N
51.21,маленькие,маленький,AdjN
51.14,глубине,глубина,N
51.14,связь,связь,N
51.08,незаметно,незаметно,Adj
51.08,пространство,пространство,N
51.01,знакомый,знакомый,AdjN
50.95,белых,белый,AdjN
50.95,высоко,высоко,Adj
50.88,чужой,чужой,AdjN
50.88,вечно,вечно,Adj
50.82,класс,класс,N
50.82,здорово,здорово,Adj
50.82,игры,игра,N
50.75,семья,семья,N
50.75,пистолет,пистолет,N
50.69,мешок,мешок,N
50.69,штаны,штаны,N
50.69,торопливо,торопливо,Adj
50.56,метро,метро,N
50.56,левой,левый,Adj
50.56,советских,советский,Adj
50.56,домов,дом,AdjN
50.49,знак,знак,N
50.49,умел,уметь,Adj
50.43,тетя,тетя,N
50.36,цветы,цветок,N
50.36,словам,слово,N
50.23,площадь,площадь,N
50.16,разговоры,разговор,N
50.16,пришло,приходить,Adj
50.16,зеркало,зеркало,N
50.16,оружия,оружие,N
50.16,ярко,ярко,Adj
50.16,зло,зло,AdjN
50.10,неплохо,неплохо,Adj
49.97,молодого,молодой,AdjN
49.97,лето,лето,N
49.97,рост,рост,N
49.97,значительно,значительно,Adj
49.97,районе,район,N
49.90,бок,бок,N
49.90,вещей,вещь,AdjN
49.77,стекла,стекло,N
49.77,коридоре,коридор,N
49.64,жила,жить,AdjN
49.64,картины,картина,N
49.58,идея,идея,N
49.58,длинные,длинный,Adj
49.51,отлично,отлично,AdjN
49.45,полка,полк,N
49.45,роли,роль,N
49.38,настроение,настроение,N
49.38,возрасте,возраст,N
49.38,этаж,этаж,N
49.25,деревьев,дерево,N
49.25,последних,последний,Adj
49.18,старых,старый,AdjN
49.12,новая,новый,Adj
49.12,особо,особо,Adj
49.05,невольно,невольно,Adj
48.79,дерево,дерево,N
48.79,третьего,третий,N
48.79,остальных,остальной,N
48.79,вопросов,вопрос,N
48.73,подальше,далекий,?
48.73,лошадь,лошадь,N
48.73,старуха,старуха,N
48.66,рад,рад,AdjN
48.60,смех,смех,N
48.60,большого,большой,AdjN
48.53,институт,институт,N
48.47,ключ,ключ,N
48.40,шее,шея,N
48.34,брови,бровь,N
48.34,хорошего,хороший,Adj
48.27,жив,живой,Adj
48.20,кафе,кафе,N
48.20,губами,губа,N
48.20,борьбы,борьба,N
48.01,пыли,пыль,N
